PassengerId	Survived	PassengerClass	Name	Gender	Age	SibSp	Parch	Ticket	Fare	Cabin	Embarked
1	0	3	Braund, Mr. Owen Harris	Male	22	1	0	A/5 21171	7.25	NA	S
2	1	1	Cumings, Mrs. John Bradley (Florence Briggs Thayer)	Female	38	1	0	PC 17599	71.2833	C85	C
3	1	3	Heikkinen, Miss. Laina	Female	26	0	0	STON/O2. 3101282	7.925	NA	S
4	1	1	Futrelle, Mrs. Jacques Heath (Lily May Peel)	Female	35	1	0	113803	53.1	C123	S
5	0	3	Allen, Mr. William Henry	Male	35	0	0	373450	8.05	NA	S
6	0	3	Moran, Mr. James	Male	NA	0	0	330877	8.4583	NA	Q
7	0	1	McCarthy, Mr. Timothy J	Male	54	0	0	17463	51.8625	E46	S
8	0	3	Palsson, Master. Gosta Leonard	Male	2	3	1	349909	21.075	NA	S
9	1	3	Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)	Female	27	0	2	347742	11.1333	NA	S
10	1	2	Nasser, Mrs. Nicholas (Adele Achem)	Female	14	1	0	237736	30.0708	NA	C
11	1	3	Sandstrom, Miss. Marguerite Rut	Female	4	1	1	PP 9549	16.7	G6	S
12	1	1	Bonnell, Miss. Elizabeth	Female	58	0	0	113783	26.55	C103	S
13	0	3	Saundercock, Mr. William Henry	Male	20	0	0	A/5. 2151	8.05	NA	S
14	0	3	Andersson, Mr. Anders Johan	Male	39	1	5	347082	31.275	NA	S
15	0	3	Vestrom, Miss. Hulda Amanda Adolfina	Female	14	0	0	350406	7.8542	NA	S
16	1	2	Hewlett, Mrs. (Mary D Kingcome)	Female	55	0	0	248706	16	NA	S
17	0	3	Rice, Master. Eugene	Male	2	4	1	382652	29.125	NA	Q
18	1	2	Williams, Mr. Charles Eugene	Male	NA	0	0	244373	13	NA	S
19	0	3	Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)	Female	31	1	0	345763	18	NA	S
20	1	3	Masselmani, Mrs. Fatima	Female	NA	0	0	2649	7.225	NA	C
21	0	2	Fynney, Mr. Joseph J	Male	35	0	0	239865	26	NA	S
22	1	2	Beesley, Mr. Lawrence	Male	34	0	0	248698	13	D56	S
23	1	3	McGowan, Miss. Anna 'Annie'	Female	15	0	0	330923	8.0292	NA	Q
24	1	1	Sloper, Mr. William Thompson	Male	28	0	0	113788	35.5	A6	S
25	0	3	Palsson, Miss. Torborg Danira	Female	8	3	1	349909	21.075	NA	S
26	1	3	Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)	Female	38	1	5	347077	31.3875	NA	S
27	0	3	Emir, Mr. Farred Chehab	Male	NA	0	0	2631	7.225	NA	C
28	0	1	Fortune, Mr. Charles Alexander	Male	19	3	2	19950	263	C23 C25 C27	S
29	1	3	O'Dwyer, Miss. Ellen 'Nellie'	Female	NA	0	0	330959	7.8792	NA	Q
30	0	3	Todoroff, Mr. Lalio	Male	NA	0	0	349216	7.8958	NA	S
31	0	1	Uruchurtu, Don. Manuel E	Male	40	0	0	PC 17601	27.7208	NA	C
32	1	1	Spencer, Mrs. William Augustus (Marie Eugenie)	Female	NA	1	0	PC 17569	146.5208	B78	C
33	1	3	Glynn, Miss. Mary Agatha	Female	NA	0	0	335677	7.75	NA	Q
34	0	2	Wheadon, Mr. Edward H	Male	66	0	0	C.A. 24579	10.5	NA	S
